,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,features,quality,price,popularity,category,latitude,longitude,address,link
823,823,823,823,823,823,823,823,823,823,Fable,"{'patio': 135, 'brunch': 79, 'garden': 53, 'pork chop': 22, 'lasagna': 21, 'vegan': 16, 'eggs benedict': 11, 'quinoa': 9, 'tuna': 7, 'mimosas': 7}",4.4,2,867,Californian restaurant,37.759954,-122.435112,"558 Castro St, San Francisco, CA 94114",https://www.google.com/maps/place/Fable/data=!4m2!3m1!1s0x808f7e1ad153afdf:0x8e764c34ecadd57e!10m1!1e1
824,824,824,824,824,824,824,824,824,824,"K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities","{'party': 70, 'management': 37, 'desk': 33, 'skills': 25, 'throttle': 19, 'pizza': 15, 'employee': 13, 'charge': 11, 'walking': 11, 'remote': 7}",4.0,0,2249,Go-kart track,37.372302,-121.980689,"2925 Mead Ave, Santa Clara, CA 95051","https://www.google.com/maps/place/K1+Speed+-+Indoor+Go+Karts,+Corporate+Event+Venue,+Team+Building+Activities/data=!4m2!3m1!1s0x808fc9f798b61dfb:0x6d64b6ded2592ae8!10m1!1e1"
825,825,825,825,825,825,825,825,825,825,K1 Speed,"{'fun': 20, 'kids': 18, 'party': 15, 'manager': 11, 'people': 10, 'son': 8, 'driving': 7, 'team': 7, 'facility': 6, 'adults': 5}",4.5,0,222,Go-kart track,38.368709,-122.716461,"4601 Redwood Dr, Rohnert Park, CA 94928",https://www.google.com/maps/place/K1+Speed/data=!4m2!3m1!1s0x808449fb2a9c7273:0x9e0e050ef3a98518!10m1!1e1
826,826,826,826,826,826,826,826,826,826,K1 Speed,"{'manager': 13, 'party': 13, 'races': 12, 'people': 12, 'son': 9, 'questions': 9, 'desk': 7, 'building': 6, 'electric': 6, 'elevation': 5}",4.2,0,294,Go-kart track,38.262829,-122.057555,"1560 Gateway Blvd, Fairfield, CA 94533",https://www.google.com/maps/place/K1+Speed/data=!4m2!3m1!1s0x8085155b0055d951:0xe7aa6fd6ec9e2c12!10m1!1e1
827,827,827,827,827,827,827,827,827,827,Boomers Livermore,"{'go karts': 178, 'mini golf': 131, 'laser tag': 76, 'arcade': 71, 'party': 60, 'bumper boats': 36, 'season pass': 22, 'golf course': 19, 'racing': 15, 'rock climbing': 9}",4.1,0,1890,Amusement park,37.699546,-121.809962,"2400 Kitty Hawk Rd, Livermore, CA 94551",https://www.google.com/maps/place/Boomers+Livermore/data=!4m2!3m1!1s0x808fe627fba1e4e3:0x709c3eb78fd63755!10m1!1e1
828,828,828,828,828,828,828,828,828,828,Paintball Jungle,"{'players': 11, 'woodsball': 10, 'price': 9, 'safety': 6, 'speedball': 5, 'rental': 5, 'forts': 4, 'raffle': 3, 'bunkers': 3, 'park': 3}",4.6,0,221,Paintball center,38.183897,-122.27191,"2 Eucalyptus Dr, American Canyon, CA 94503",https://www.google.com/maps/place/Paintball+Jungle/data=!4m2!3m1!1s0x80850b6c7b30c41d:0x54d5e306c4c0cab9!10m1!1e1
829,829,829,829,829,829,829,829,829,829,Sunol Paintball Outdoor Park,"{'prices': 10, 'players': 9, 'rental': 8, 'team': 5, 'music': 4, 'guns': 3, 'parties': 3}",4.6,0,102,Paintball center,37.595022,-121.849093,"7900 Vallecitos Rd, Sunol, CA 94586",https://www.google.com/maps/place/Sunol+Paintball+Outdoor+Park/data=!4m2!3m1!1s0x808fc30220bee0b9:0xfe0c916571d9786d!10m1!1e1
830,830,830,830,830,830,830,830,830,830,Fairfield Extreme Sports,"{'price': 10, 'party': 9, 'kids': 6, 'tournament': 4, 'team': 4, 'players': 3, 'ref': 3}",4.6,0,110,Paintball center,38.227922,-122.072091,"2325 Cordelia Rd, Fairfield, CA 94534",https://www.google.com/maps/place/Fairfield+Extreme+Sports/data=!4m2!3m1!1s0x80851464d569cc41:0x479c6d82be69bbc!10m1!1e1
831,831,831,831,831,831,831,831,831,831,Midway Paintball Facility,"{'birthday': 17, 'players': 12, 'kids': 11, 'safety': 6, 'job': 5, 'gun': 5, 'team': 5, 'picnic tables': 4, 'air ball': 3, 'bruises': 3}",4.4,0,191,Paintball center,38.417884,-121.942164,"4901 Midway Rd, Vacaville, CA 95688",https://www.google.com/maps/place/Midway+Paintball+Facility/data=!4m2!3m1!1s0x808523ac2f254e7d:0x28ac97af46cbfa0e!10m1!1e1
832,832,832,832,832,832,832,832,832,832,Cutting Edge Paintball,"{'price': 16, 'co2': 13, 'tanks': 8, 'paintball gun': 7, 'knowledge': 5, 'informative': 5, 'mask': 4}",4.8,0,142,Paintball store,37.322605,-121.879395,"919 S Second St, San Jose, CA 95112",https://www.google.com/maps/place/Cutting+Edge+Paintball/data=!4m2!3m1!1s0x808fcb5b14fb46a7:0x875a6cf130757d1!10m1!1e1
