link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,emails
,Berkeley,,CA,{},{},http://www.ci.berkeley.ca.us/,,,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",37.871523,-122.273042,10730412794650683795,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHFb9YD9L1p2U6AA3zuEaxvO0KY_gHsUOzEwx47pfpE8ODuRzMHhDECuZcXgXwWVXHvjY9puQMZ7whjbkBugffVCaLrvdlJp91Rdb03OnfL4ictJScgk_VIPyfONWxI_e3h26d1wIF4H_FW0CEM-IRyMf3FZfub9BMoKF0Ta31hpnQeXh8FIb4=w408-h272-k-no,America/Los_Angeles,,0x808579363a8549d3:0x94ea1595a675e993,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipM58GyxQD7GuLUca3K1JSD_WNXkhRAUIFrb5Alz=w261-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://lh5.googleusercontent.com/p/AF1QipM3aW0n23D45zTl7sgwFSXCVR502Oy5PxI7Ycmp=w224-h298-k-no-pi-10-ya122.89853-ro-0-fo100""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMIXgGFZf38soxbiqlh2t-AgiTLu5Jjb9TagysR=w529-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":""Berkeley"",""postal_code"":"""",""state"":""California"",""country"":""US""}",null,null,
https://www.google.com/maps/place/Berkeley+Pole+%2B+Dance/data=!4m2!3m1!1s0x80857f525ce0e09d:0xd1f33911262c6926!10m1!1e1,Berkeley Pole + Dance,Dance school,"1636 University Ave, Berkeley, CA 94703","{""Friday"":[""5–6:30 PM""],""Monday"":[""3–10 PM""],""Saturday"":[""10 AM–3 PM""],""Sunday"":[""10 AM–3 PM""],""Thursday"":[""3–10 PM""],""Tuesday"":[""3–10 PM""],""Wednesday"":[""3–10 PM""]}",{},https://www.poleanddancestudios.com/,(510) 674-8536,"VPCC+69 Berkeley, California",32,4.900000,"{""1"":1,""2"":0,""3"":0,""4"":0,""5"":31}",37.870615,-122.279028,15128498319085300006,Closed ⋅ Opens 3 PM,,https://search.google.com/local/reviews?placeid=ChIJneDgXFJ_hYARJmksJhE589E&q=Berkeley+Pole+%2B+Dance&authuser=0&hl=en&gl=US,https://lh5.googleusercontent.com/p/AF1QipOK1mAocvJcEgoweyKKUDKZ16bCUAaTPjGnegJg=w408-h263-k-no,America/Los_Angeles,,0x80857f525ce0e09d:0xd1f33911262c6926,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOK1mAocvJcEgoweyKKUDKZ16bCUAaTPjGnegJg=w461-h298-k-no""},{""title"":""Dance"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOYzGa0OpAKAqdsXAMygmh3Cy0I8aarkBNJd0X0=w241-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipP0CdnvOA9MmwzCv8b5Ihi_6Zfl5c76nIsalcP2=w398-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-u_rErvdt6eidMHy1gT5ww\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=187.36302\u0026pitch=0\u0026thumbfov=100""}]",null,"[{""link"":""https://www.poleanddancestudios.com/"",""source"":""poleanddancestudios.com""}]","{""link"":"""",""source"":""""}","{""id"":""103048072610892914244"",""name"":""Berkeley Pole + Dance (Owner)"",""link"":""https://www.google.com/maps/contrib/103048072610892914244""}","{""borough"":""Central Berkeley"",""street"":""1636 University Ave"",""city"":""Berkeley"",""postal_code"":""94703"",""state"":""California"",""country"":""US""}","[{""id"":""from_the_business"",""name"":""From the business"",""options"":[{""name"":""Identifies as women-owned"",""enabled"":false}]},{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Onsite services"",""enabled"":false},{""name"":""Online classes"",""enabled"":false}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":false},{""name"":""Wheelchair accessible restroom"",""enabled"":false}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Gender-neutral restroom"",""enabled"":false}]},{""id"":""crowd"",""name"":""Crowd"",""options"":[{""name"":""LGBTQ+ friendly"",""enabled"":false},{""name"":""Transgender safespace"",""enabled"":false}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Appointment required"",""enabled"":false}]}]",null,
https://www.google.com/maps/place/Bold+Lagree+Fitness+Studio/data=!4m2!3m1!1s0x80857dc561052b59:0xab2f94199fb9887a!10m1!1e1,Bold Lagree Fitness Studio,Physical fitness program,"3169 College Ave, Berkeley, CA 94705",{},{},http://www.beboldstudios.com/,,"VP2X+M3 Berkeley, California",43,4.900000,"{""1"":1,""2"":0,""3"":0,""4"":0,""5"":42}",37.851667,-122.252288,12335240742165907578,,"Compact center focusing on the high-intensity, low-impact Lagree fitness program.",https://search.google.com/local/reviews?placeid=ChIJWSsFYcV9hYAReoi5nxmUL6s&q=Bold+Lagree+Fitness+Studio&authuser=0&hl=en&gl=US,https://lh5.googleusercontent.com/p/AF1QipMQOEEt7FeB8krNlnJ_PhnSQ4uN026NTSCUqdJy=w408-h544-k-no,America/Los_Angeles,,0x80857dc561052b59:0xab2f94199fb9887a,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMQOEEt7FeB8krNlnJ_PhnSQ4uN026NTSCUqdJy=w224-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6ORRz70EqoBxEFr3ZtiEBg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=115.59555\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":""http://places.singleplatform.com/bold/menu?ref=google"",""source"":""places.singleplatform.com""}","{""id"":""104170037518182584095"",""name"":""Bold Lagree Fitness Studio (Owner)"",""link"":""https://www.google.com/maps/contrib/104170037518182584095""}","{""borough"":""Elmwood"",""street"":""3169 College Ave"",""city"":""Berkeley"",""postal_code"":""94705"",""state"":""California"",""country"":""US""}",null,null,
https://www.google.com/maps/place/Bliss+Belly+Kitchen/data=!4m2!3m1!1s0x80857e91c4f8881d:0xdb6c1bdd740d6976!10m1!1e1,Bliss Belly Kitchen,Children's camp,"1522 Ward St, Berkeley, CA 94703",{},{},http://www.blissbellykitchen.com/,(510) 936-1841,"VP5C+3F Berkeley, California",48,4.900000,"{""1"":1,""2"":0,""3"":0,""4"":2,""5"":45}",37.857727,-122.278757,15811043029739727222,,,https://search.google.com/local/reviews?placeid=ChIJHYj4xJF-hYARdmkNdN0bbNs&q=Bliss+Belly+Kitchen&authuser=0&hl=en&gl=US,https://lh5.googleusercontent.com/p/AF1QipO7c8Rk-LrLw4i_aBHFcsHSNV9jGQDu0eCvnpMM=w408-h272-k-no,America/Los_Angeles,,0x80857e91c4f8881d:0xdb6c1bdd740d6976,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipO7c8Rk-LrLw4i_aBHFcsHSNV9jGQDu0eCvnpMM=w447-h298-k-no""},{""title"":""Food \u0026 drink"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNgG5-bHWRn02mpwr4jr_SA_fzemWau24I4LaB-=w397-h298-k-no""},{""title"":""From visitors"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNOv6WGVfITMzz-f8LPzwCeVACTka7USPMDBcGL=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPjZtkMx-66LJwIQOWNFaeNyKqgXW46Nb6q2P2x=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IMWQpVFuLA_LBHEKZ5rpPQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=183.27667\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""107798047625838475041"",""name"":""Bliss Belly Kitchen (Owner)"",""link"":""https://www.google.com/maps/contrib/107798047625838475041""}","{""borough"":""South Berkeley"",""street"":""1522 Ward St"",""city"":""Berkeley"",""postal_code"":""94703"",""state"":""California"",""country"":""US""}",null,null,
https://www.google.com/maps/place/Studio+Sessions/data=!4m2!3m1!1s0x80857d7ce040a1bf:0x8789cb46956a4dbc!10m1!1e1,Studio Sessions,Sewing shop,"2924 College Ave, Berkeley, CA 94705","{""Friday"":[""11 AM–1 PM"",""2–6 PM""],""Monday"":[""Closed""],""Saturday"":[""11 AM–1 PM"",""2–6 PM""],""Sunday"":[""11 AM–1 PM"",""2–6 PM""],""Thursday"":[""11 AM–1 PM"",""2–6 PM""],""Tuesday"":[""Closed""],""Wednesday"":[""11 AM–1 PM"",""2–6 PM""]}",{},https://studio-sessions.com/,(707) 582-5871,"VP5W+5M Berkeley, California",5,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":5}",37.857884,-122.253350,9766560770944552380,Closed ⋅ Opens 11 AM Wed,,https://search.google.com/local/reviews?placeid=ChIJv6FA4Hx9hYARvE1qlUbLiYc&q=Studio+Sessions&authuser=0&hl=en&gl=US,https://lh5.googleusercontent.com/p/AF1QipP4db8jqxb5G1c2URgK2dKC-O6H9DYw87F_85QU=w408-h544-k-no,America/Los_Angeles,,0x80857d7ce040a1bf:0x8789cb46956a4dbc,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNHD8RBd-iaI9xX6tD8bvjCPmExcaUjrGwiRBJw=w224-h298-k-no""},{""title"":""Inside"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOCTLobgP0Sfvd3rF7mV3YX3UX9DkRfAboDBccj=w224-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNHD8RBd-iaI9xX6tD8bvjCPmExcaUjrGwiRBJw=w224-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0GKLTVt_Y2EMg7UtcgCI7w\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=265.77808\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""111003255969190856812"",""name"":""Studio Sessions (Owner)"",""link"":""https://www.google.com/maps/contrib/111003255969190856812""}","{""borough"":""Elmwood"",""street"":""2924 College Ave"",""city"":""Berkeley"",""postal_code"":""94705"",""state"":""California"",""country"":""US""}","[{""id"":""from_the_business"",""name"":""From the business"",""options"":[{""name"":""Small business"",""enabled"":false}]},{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""In-store shopping"",""enabled"":false},{""name"":""Delivery"",""enabled"":false}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":false}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Credit cards"",""enabled"":false}]}]",null,
https://www.google.com/maps/place/The+Potters'+Studio/data=!4m2!3m1!1s0x80857eda6b41d027:0x21fd92bc2acdd795!10m1!1e1,The Potters' Studio,Pottery classes,"1221 Eighth St, Berkeley, CA 94710","{""Friday"":[""10 AM–5 PM""],""Monday"":[""10 AM–5 PM""],""Saturday"":[""10 AM–5 PM""],""Sunday"":[""10 AM–5 PM""],""Thursday"":[""10 AM–5 PM""],""Tuesday"":[""10 AM–5 PM""],""Wednesday"":[""10 AM–5 PM""]}",{},http://www.berkeleypottersstudio.org/,(510) 528-3286,"VPJ2+79 Berkeley, California",18,4.800000,"{""1"":0,""2"":0,""3"":1,""4"":1,""5"":16}",37.880675,-122.299113,2449275109229057941,Open ⋅ Closes 5 PM,,https://search.google.com/local/reviews?placeid=ChIJJ9BBa9p-hYARldfNKryS_SE&q=The+Potters'+Studio&authuser=0&hl=en&gl=US,https://lh5.googleusercontent.com/p/AF1QipO-ot5QcIIKEJT3NKEbcyZy73lr6F63RNrcUrci=w408-h306-k-no,America/Los_Angeles,,0x80857eda6b41d027:0x21fd92bc2acdd795,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipO-ot5QcIIKEJT3NKEbcyZy73lr6F63RNrcUrci=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TTJ60GtwFZPxk0KepMoH_w\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=114.48598\u0026pitch=0\u0026thumbfov=100""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNKm9fMHkp567RqDNwwxQEbKLQxI29yPhFFjt1O=w529-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""117490101148669924536"",""name"":""The Potters' Studio (Owner)"",""link"":""https://www.google.com/maps/contrib/117490101148669924536""}","{""borough"":""Northwest Berkeley"",""street"":""1221 Eighth St"",""city"":""Berkeley"",""postal_code"":""94710"",""state"":""California"",""country"":""US""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Onsite services"",""enabled"":false}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":false},{""name"":""Wheelchair accessible parking lot"",""enabled"":false},{""name"":""Wheelchair accessible restroom"",""enabled"":false}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Gender-neutral restroom"",""enabled"":false}]}]",null,
https://www.google.com/maps/place/Polyglottist+Language+Academy/data=!4m2!3m1!1s0x80857e9f9e741e7f:0x5f54b85fb333ed1b!10m1!1e1,Polyglottist Language Academy,Language school,"2161 Shattuck Ave. #234-235, Berkeley, CA 94704","{""Friday"":[""9 AM–7 PM""],""Monday"":[""9 AM–7 PM""],""Saturday"":[""9 AM–7 PM""],""Sunday"":[""9 AM–7 PM""],""Thursday"":[""9 AM–7 PM""],""Tuesday"":[""9 AM–7 PM""],""Wednesday"":[""9 AM–7 PM""]}",{},https://www.polyglottistlanguageacademy.com/,(510) 710-4503,"VPCM+32 Berkeley, California",3,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":3}",37.870160,-122.267452,6869318052814777627,Open ⋅ Closes 7 PM,,https://search.google.com/local/reviews?placeid=ChIJfx50np9-hYARG-0zs1-4VF8&q=Polyglottist+Language+Academy&authuser=0&hl=en&gl=US,https://lh5.googleusercontent.com/p/AF1QipNMcCriR2f_XXQsK43o-V60AhP3KCBwf1yJ462C=w408-h306-k-no,America/Los_Angeles,,0x80857e9f9e741e7f:0x5f54b85fb333ed1b,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNMcCriR2f_XXQsK43o-V60AhP3KCBwf1yJ462C=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNSQnzxRDOaSKX209HJ8bx3eROBjB3Xxfg_dlog=w529-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNSQnzxRDOaSKX209HJ8bx3eROBjB3Xxfg_dlog=w529-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cENEN2vFv2SdmqsKVI8hMQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=190.57652\u0026pitch=0\u0026thumbfov=100""}]",null,"[{""link"":""https://www.polyglottistlanguageacademy.com/"",""source"":""polyglottistlanguageacademy.com""}]","{""link"":"""",""source"":""""}","{""id"":""105337858938763056440"",""name"":""Polyglottist Language Academy (Owner)"",""link"":""https://www.google.com/maps/contrib/105337858938763056440""}","{""borough"":""Downtown Berkeley"",""street"":""2161 Shattuck Ave. #234-235"",""city"":""Berkeley"",""postal_code"":""94704"",""state"":""California"",""country"":""US""}","[{""id"":""from_the_business"",""name"":""From the business"",""options"":[{""name"":""Identifies as women-owned"",""enabled"":false}]},{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online classes"",""enabled"":false},{""name"":""Onsite services"",""enabled"":false}]}]",null,
https://www.google.com/maps/place/The+Beat/data=!4m2!3m1!1s0x80857eed86f31587:0xc21f201faacc9db0!10m1!1e1,The Beat,Dance school,"2560 Ninth St #119, Berkeley, CA 94710","{""Friday"":[""12:30–8 PM""],""Monday"":[""11 AM–8 PM""],""Saturday"":[""9 AM–3 PM""],""Sunday"":[""10 AM–2 PM""],""Thursday"":[""10:30 AM–7 PM""],""Tuesday"":[""12–8:30 PM""],""Wednesday"":[""3–8:30 PM""]}",{},http://www.theberkeleyperformingarts.org/,(510) 843-2328,"VP55+P8 Berkeley, California",20,4.400000,"{""1"":2,""2"":1,""3"":0,""4"":1,""5"":16}",37.859370,-122.291703,13987934288017661360,Open ⋅ Closes 8:30 PM,,https://search.google.com/local/reviews?placeid=ChIJhxXzhu1-hYARsJ3Mqh8gH8I&q=The+Beat&authuser=0&hl=en&gl=US,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1I4QabNntHOHGJ98uMcFwA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=284.13327&pitch=0&thumbfov=100,America/Los_Angeles,,0x80857eed86f31587:0xc21f201faacc9db0,"[{""title"":""All"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1I4QabNntHOHGJ98uMcFwA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=284.13327\u0026pitch=0\u0026thumbfov=100""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1I4QabNntHOHGJ98uMcFwA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=284.13327\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":""http://places.singleplatform.com/the-beat-berkeley-performing-arts/menu?ref=google"",""source"":""places.singleplatform.com""}","{""id"":""107342526670482613612"",""name"":""The Beat (Owner)"",""link"":""https://www.google.com/maps/contrib/107342526670482613612""}","{""borough"":""Southwest Berkeley"",""street"":""2560 Ninth St #119"",""city"":""Berkeley"",""postal_code"":""94710"",""state"":""California"",""country"":""US""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online classes"",""enabled"":false}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":false},{""name"":""Wheelchair accessible parking lot"",""enabled"":false}]}]",null,
https://www.google.com/maps/place/LSI+Berkeley+(English+language+school)/data=!4m2!3m1!1s0x80857e9c1c4d931b:0xc4400edb551c998a!10m1!1e1,LSI Berkeley (English language school),Language school,"2015 Center St, Berkeley, CA 94704","{""Friday"":[""8:30 AM–5 PM""],""Monday"":[""8:30 AM–5 PM""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""8:30 AM–5 PM""],""Tuesday"":[""8:30 AM–5 PM""],""Wednesday"":[""8:30 AM–5 PM""]}",{},http://www.lsi.edu/berkeley,(510) 841-4695,"VPCH+3X Berkeley, California",27,4.800000,"{""1"":1,""2"":0,""3"":0,""4"":2,""5"":24}",37.870152,-122.270113,14141319165131921802,Open ⋅ Closes 5 PM,,https://search.google.com/local/reviews?placeid=ChIJG5NNHJx-hYARipkcVdsOQMQ&q=LSI+Berkeley+(English+language+school)&authuser=0&hl=en&gl=US,https://lh5.googleusercontent.com/p/AF1QipMEeeIB7D4mrDfPiu3LySG8XA5MCLiXkUA5Rfpb=w408-h275-k-no,America/Los_Angeles,,0x80857e9c1c4d931b:0xc4400edb551c998a,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMEeeIB7D4mrDfPiu3LySG8XA5MCLiXkUA5Rfpb=w441-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPfJF70wa9O4NdhBonPTK49HLzo9k52ug6vLKIs=w446-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOL8xxmZRP_7LjFgdeoaAMZBwlzE85VaBHQAJio=w224-h298-k-no-pi0-ya240-ro0-fo100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""114096882924604548864"",""name"":""LSI Berkeley (English language school) (Owner)"",""link"":""https://www.google.com/maps/contrib/114096882924604548864""}","{""borough"":""Downtown Berkeley"",""street"":""2015 Center St"",""city"":""Berkeley"",""postal_code"":""94704"",""state"":""California"",""country"":""US""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":false}]}]",null,
https://www.google.com/maps/place/Classroom+Matters/data=!4m2!3m1!1s0x80857e91e5f9344f:0xd22cbe3d03a5b5d9!10m1!1e1,Classroom Matters,Tutoring service,"2436 Sacramento St, Berkeley, CA 94702","{""Friday"":[""12–4 PM""],""Monday"":[""12–5 PM""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""12–5 PM""],""Tuesday"":[""12–5 PM""],""Wednesday"":[""12–5 PM""]}",{},http://classroommatters.com/,(510) 540-8646,"VP79+3C Berkeley, California",6,4.300000,"{""1"":1,""2"":0,""3"":0,""4"":0,""5"":5}",37.862635,-122.281494,15144688816203609561,Open ⋅ Closes 5 PM,,https://search.google.com/local/reviews?placeid=ChIJTzT55ZF-hYAR2bWlAz2-LNI&q=Classroom+Matters&authuser=0&hl=en&gl=US,https://lh5.googleusercontent.com/p/AF1QipOGkfJe8ZmnB8nMEl7BYtXij3aeQIKKboe99PVU=w408-h725-k-no,America/Los_Angeles,,0x80857e91e5f9344f:0xd22cbe3d03a5b5d9,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOGkfJe8ZmnB8nMEl7BYtXij3aeQIKKboe99PVU=w224-h398-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMT-H3hdGf1LWnknhg6EGhiZdOI0hefFk34hDwO=w298-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tIzVKvPhvy71iBExwo7bWQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=259.41452\u0026pitch=0\u0026thumbfov=100""}]",null,"[{""link"":""https://www.classroommatters.com/"",""source"":""classroommatters.com""}]","{""link"":"""",""source"":""""}","{""id"":""102128483017625781754"",""name"":""Classroom Matters (Owner)"",""link"":""https://www.google.com/maps/contrib/102128483017625781754""}","{""borough"":""Southwest Berkeley"",""street"":""2436 Sacramento St"",""city"":""Berkeley"",""postal_code"":""94702"",""state"":""California"",""country"":""US""}","[{""id"":""from_the_business"",""name"":""From the business"",""options"":[{""name"":""Identifies as women-owned"",""enabled"":false}]},{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online classes"",""enabled"":false},{""name"":""Onsite services"",""enabled"":false}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair accessible entrance"",""enabled"":false},{""name"":""Wheelchair accessible parking lot"",""enabled"":false}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Appointment required"",""enabled"":false}]}]",null,
