,title,category,latitude,longitude,address,link,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,time
0,La Note,French restaurant,37.866206,-122.267249,"2377 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/La+Note/data=!4m2!3m1!1s0x80857e82d280ff07:0x4ab1779424f266c2!10m1!1e1,8 AM–2 PM,8 AM–2 PM,8 AM–2 PM,8 AM–2 PM,8 AM–2 PM,8 AM–3 PM,8 AM–3 PM,,
1,Grégoire Restaurant,French restaurant,37.878583,-122.268578,"2109 Cedar St, Berkeley, CA 94709",https://www.google.com/maps/place/Gr%C3%A9goire+Restaurant/data=!4m2!3m1!1s0x80857ea11b66ddb5:0xc40f489d63d439a2!10m1!1e1,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,11:30 AM–7 PM,,
2,À Côté,Restaurant,37.842073,-122.251264,"5478 College Ave, Oakland, CA 94618",https://www.google.com/maps/place/%C3%80+C%C3%B4t%C3%A9/data=!4m2!3m1!1s0x80857de83265b91d:0x1e5bce1dfb959cf7!10m1!1e1,Closed,5–9 PM,5–9 PM,5–9 PM,5–10 PM,5–10 PM,Closed,,
3,Julia's Restaurant,French restaurant,37.867621,-122.262837,"2315 Durant Ave 2nd floor, Berkeley, CA 94704",https://www.google.com/maps/place/Julia's+Restaurant/data=!4m2!3m1!1s0x80857c287eeb9a6d:0xbdd60abd330d9a5a!10m1!1e1,Closed,12–2 PM,12–2 PM,12–2 PM,12–2 PM,12–2 PM,Closed,,
4,Le Bateau Ivre Restaurant,Restaurant,37.862503,-122.258559,"2629 Telegraph Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Le+Bateau+Ivre+Restaurant/data=!4m2!3m1!1s0x80857c2c65a43429:0x53e1b3d2543ddeb1!10m1!1e1,,,,,,,,,
5,The Butcher’s Son Vegan Delicatessen & Bakery,Vegan restaurant,37.871575,-122.271629,"1954 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/The+Butcher%E2%80%99s+Son+Vegan+Delicatessen+%26+Bakery/data=!4m2!3m1!1s0x80857e992731c87b:0xe91171496c4ce681!10m1!1e1,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,10 AM–8 PM,10 AM–4 PM,,
6,Tane Vegan Izakaya,Vegan restaurant,37.872754,-122.2688,"1956 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/Tane+Vegan+Izakaya/data=!4m2!3m1!1s0x80857f5446af996b:0x3f240d8d6fd29600!10m1!1e1,,,,,,,,,
7,Humbowl,Health food restaurant,37.856681,-122.252904,"2975 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/Humbowl/data=!4m2!3m1!1s0x80857d65752e2f71:0xcee70fa15fd383c8!10m1!1e1,,,,,,,,,
8,FAVA,Lunch restaurant,37.880211,-122.268634,"2114 Vine St, Berkeley, CA 94709",https://www.google.com/maps/place/FAVA/data=!4m2!3m1!1s0x80857f7908f95ae7:0x88a0aa01ee62bef3!10m1!1e1,,,,,,,,,
9,Long Life Vegi House,Vegetarian restaurant,37.87128,-122.276776,"1725 University Ave, Berkeley, CA 94703",https://www.google.com/maps/place/Long+Life+Vegi+House/data=!4m2!3m1!1s0x80857e9e4282c943:0xff84ed20121b507a!10m1!1e1,,,,,,,,,
10,Razan's Organic Kitchen traditional and classic shawarma.,Organic restaurant,37.868736,-122.26685,"2119 Kittredge St, Berkeley, CA 94704",https://www.google.com/maps/place/Razan's+Organic+Kitchen+traditional+and+classic+shawarma./data=!4m2!3m1!1s0x80857e9d0b171e69:0xcd23466e715efbdf!10m1!1e1,,,,,,,,,
11,Cha-Ya,Vegetarian restaurant,37.87681,-122.269165,"1686 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Cha-Ya/data=!4m2!3m1!1s0x80857ea1ba1e17b1:0xdc610e9b5e2a357a!10m1!1e1,,,,,,,,,
12,Shangrila Buddha Organic Vegan Restaurant,Vegan restaurant,37.892154,-122.299302,"755 San Pablo Ave, Albany, CA 94706",https://www.google.com/maps/place/Shangrila+Buddha+Organic+Vegan+Restaurant/data=!4m2!3m1!1s0x808579a13d92e57b:0x80636c4c581b70d8!10m1!1e1,,,,,,,,,
13,Gather,Californian restaurant,37.869504,-122.266118,"Between Allston, 2200 Oxford St, Kittredge St, Berkeley, CA 94704",https://www.google.com/maps/place/Gather/data=!4m2!3m1!1s0x80857e9d83224aa9:0xc8fa3cab72e37552!10m1!1e1,Closed,Closed,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,10 AM–2 PM,10 AM–2 PM,,
14,sweetgreen,Health food restaurant,37.874001,-122.26886,"1890 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/sweetgreen/data=!4m2!3m1!1s0x80857e9f0dda9e7b:0xe22439a08913b782!10m1!1e1,,,,,,,,,
15,Shangri-La Vegan On Linden,Vegan restaurant,37.831323,-122.276801,"4001 Linden St, Oakland, CA 94608",https://www.google.com/maps/place/Shangri-La+Vegan+On+Linden/data=!4m2!3m1!1s0x80857e0df57c40b3:0x724ee9a360dd6cb6!10m1!1e1,,,,,,,,,
16,Café Tibet,Tibetan restaurant,37.87178,-122.270151,"2020 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Caf%C3%A9+Tibet/data=!4m2!3m1!1s0x80857e9ec6fec16f:0xba0b8153d7cfe92f!10m1!1e1,,,,,,,,,
17,Califa's Greens,Latin American restaurant,37.869013,-122.291698,"1106 University Ave, Berkeley, CA 94702",https://www.google.com/maps/place/Califa's+Greens/data=!4m2!3m1!1s0x80857f68c82a7683:0x34d9cdc83c55d5e6!10m1!1e1,,,,,,,,,
18,Sliver Pizzeria,Pizza restaurant,37.86565,-122.258717,"2468 Telegraph Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Sliver+Pizzeria/data=!4m2!3m1!1s0x80857e9dc1bdc281:0x7c8f78cea201ff7c!10m1!1e1,,,,,,,,,
19,ShangriLa vegan on Telegraph,Vegan restaurant,37.835959,-122.262855,"4905 Telegraph Ave, Oakland, CA 94609",https://www.google.com/maps/place/ShangriLa+vegan+on+Telegraph/data=!4m2!3m1!1s0x80857de1a6bcf217:0xd2f1bf4bc43d1d01!10m1!1e1,,,,,,,,,
20,Millennium,Vegan restaurant,37.847448,-122.251906,"5912 College Ave, Oakland, CA 94618",https://www.google.com/maps/place/Millennium/data=!4m2!3m1!1s0x80858091d90376e9:0x27e8dc57b1f43584!10m1!1e1,,,,,,,,,
21,Lemat Ethiopian Restaurant,Ethiopian restaurant,37.850294,-122.271268,"3212 Adeline St, Berkeley, CA 94703",https://www.google.com/maps/place/Lemat+Ethiopian+Restaurant/data=!4m2!3m1!1s0x80857e7be32cef87:0xa00c52821feb82b8!10m1!1e1,,,,,,,,,
22,Udupi Palace,Indian restaurant,37.871759,-122.272799,"1903 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Udupi+Palace/data=!4m2!3m1!1s0x80857f27a25cbadb:0x5a5990244889c972!10m1!1e1,,,,,,,,,
23,Passione Emporio on 5th,Italian restaurant,37.862379,-122.297462,"2324 a Fifth St, Berkeley, CA 94710",https://www.google.com/maps/place/Passione+Emporio+on+5th/data=!4m2!3m1!1s0x80857f6328437ef7:0x92caced67ee3f344!10m1!1e1,,,,,,,,,
24,Gypsy's Trattoria Italiana,Italian restaurant,37.868046,-122.258165,"2519 Durant Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Gypsy's+Trattoria+Italiana/data=!4m2!3m1!1s0x80857c2f6ba1fc31:0x66be74dc48f642b3!10m1!1e1,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM,,
25,Donato & Co.,Italian restaurant,37.857105,-122.253487,"2635 Ashby Ave, Berkeley, CA 94705",https://www.google.com/maps/place/Donato+%26+Co./data=!4m2!3m1!1s0x80857dcdf1aedbed:0x68a73bc212dc7a55!10m1!1e1,,,,,,,,,
26,The Italian Homemade Company,Italian restaurant,37.85819,-122.252951,"2905 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/The+Italian+Homemade+Company/data=!4m2!3m1!1s0x80857dcd97300961:0x3e4c9a51ea124da!10m1!1e1,,,,,,,,,
27,La Val's Pizza,Pizza restaurant,37.87556,-122.260412,"1834 Euclid Ave, Berkeley, CA 94709",https://www.google.com/maps/place/La+Val's+Pizza/data=!4m2!3m1!1s0x80857c21783399dd:0x3a7e3b41c1d038ce!10m1!1e1,,,,,,,,,
28,Via del Corso,Italian restaurant,37.875042,-122.268931,"1788 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Via+del+Corso/data=!4m2!3m1!1s0x80857e9f7afc9113:0x3462a4374b4b9c62!10m1!1e1,Closed,5–9 PM,5–9 PM,5–9 PM,5–10 PM,5–10 PM,5–9 PM,,
29,Casa Barotti,Pizza restaurant,37.85103,-122.252682,"3204 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/Casa+Barotti/data=!4m2!3m1!1s0x80857d2e08f325f7:0x5dca53c5d96888e3!10m1!1e1,,,,,,,,,
30,Agrodolce Osteria,Italian restaurant,37.875978,-122.269053,"1730 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Agrodolce+Osteria/data=!4m2!3m1!1s0x80857ea1daea97b1:0xffca9dae038f9474!10m1!1e1,,,,,,,,,
31,Lo Coco's,Italian restaurant,37.881755,-122.269811,"1400 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Lo+Coco's/data=!4m2!3m1!1s0x80857ea68d730255:0x413dd8d935ff6493!10m1!1e1,,,,,,,,,
32,Paisan,Italian restaurant,37.860504,-122.289619,"2514 San Pablo Ave, Berkeley, CA 94702",https://www.google.com/maps/place/Paisan/data=!4m2!3m1!1s0x80857eed69685a81:0xc6f476e9e9fddc5d!10m1!1e1,4–8 PM,4–8 PM,4–8 PM,4–8 PM,4–9 PM,4–9 PM,4–8 PM,,
33,Riva Cucina,Italian restaurant,37.852851,-122.293698,"800 Heinz Ave #19, Berkeley, CA 94710",https://www.google.com/maps/place/Riva+Cucina/data=!4m2!3m1!1s0x80857ef403321051:0x1a357a452ea8baa5!10m1!1e1,,,,,,,,,
34,Luca Cucina Italiana,Italian restaurant,37.868331,-122.291579,"2057 San Pablo Ave, Berkeley, CA 94702",https://www.google.com/maps/place/Luca+Cucina+Italiana/data=!4m2!3m1!1s0x80857eea77ac6e7d:0x5bd57525e1c85a49!10m1!1e1,,,,,,,,,
35,Lucia's Berkeley,Italian restaurant,37.871635,-122.268694,"2016 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/Lucia's+Berkeley/data=!4m2!3m1!1s0x80857e9e8c27437b:0xfec9ed690f81fa64!10m1!1e1,,,,,,,,,
36,Cugini,Italian restaurant,37.890936,-122.285043,"1556 Solano Ave, Berkeley, CA 94707",https://www.google.com/maps/place/Cugini/data=!4m2!3m1!1s0x8085794b1e820665:0x6a7c735887c206e8!10m1!1e1,,,,,,,,,
37,Creekwood Restaurant,Italian restaurant,37.850981,-122.278242,"3121 Sacramento St, Berkeley, CA 94702",https://www.google.com/maps/place/Creekwood+Restaurant/data=!4m2!3m1!1s0x80857e631f1b6c81:0x129388e5e9f9607e!10m1!1e1,Closed,4–8:30 PM,4–8:30 PM,4–8:30 PM,4–9 PM,10 AM–2 PM,10 AM–2 PM,,
38,Arinell Pizza,Pizza restaurant,37.870975,-122.267505,"2119 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/Arinell+Pizza/data=!4m2!3m1!1s0x80857e9dd6ffe3b9:0x185072099524a4d7!10m1!1e1,,,,,,,,,
39,Bobby G's Pizzeria,Pizza restaurant,37.871869,-122.269018,"2072 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Bobby+G's+Pizzeria/data=!4m2!3m1!1s0x80857e9eed12658d:0x990df9632081b61f!10m1!1e1,,,,,,,,,
40,Artichoke Basille's Pizza,Pizza restaurant,37.867936,-122.256856,"2590 Durant Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Artichoke+Basille's+Pizza/data=!4m2!3m1!1s0x80857c2fa79dbb0d:0x69c09fc282b51b05!10m1!1e1,,,,,,,,,
41,Da Lian Restaurant,Chinese restaurant,37.877045,-122.269277,"1674 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Da+Lian+Restaurant/data=!4m2!3m1!1s0x80857ea1bb18d31f:0xe4fb2c4af9e92782!10m1!1e1,,,,,,,,,
42,Great China,Chinese restaurant,37.867676,-122.266173,"2190 Bancroft Way, Berkeley, CA 94704",https://www.google.com/maps/place/Great+China/data=!4m2!3m1!1s0x80857e9d0ba3811b:0x8eb009586964780e!10m1!1e1,,,,,,,,,
43,Sichuan Style,Sichuan restaurant,37.891374,-122.28259,"1699 Solano Ave, Berkeley, CA 94707",https://www.google.com/maps/place/Sichuan+Style/data=!4m2!3m1!1s0x8085798b49706761:0x83dfdb46c6115489!10m1!1e1,,,,,,,,,
44,Noodle Dynasty,Chinese noodle restaurant,37.866396,-122.25892,"2426 Telegraph Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Noodle+Dynasty/data=!4m2!3m1!1s0x80857d29b32f4979:0x4fa64c3f27c4cd86!10m1!1e1,,,,,,,,,
45,Dumpling Kitchen,Dim sum restaurant,37.868049,-122.2583,"2517 Durant Ave Ste A, Berkeley, CA 94704",https://www.google.com/maps/place/Dumpling+Kitchen/data=!4m2!3m1!1s0x80857d32f40e8bbb:0x45fbe88dd9ce701!10m1!1e1,,,,,,,,,
46,Noodles Fresh | Berkeley CA Chinese Cuisine,Chinese noodle restaurant,37.865184,-122.267936,"2430 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/Noodles+Fresh+%7C+Berkeley+CA+Chinese+Cuisine/data=!4m2!3m1!1s0x80857f371a6fb483:0x1a0a52a734a69d41!10m1!1e1,,,,,,,,,
47,King Yen,Chinese restaurant,37.856316,-122.252793,"2995 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/King+Yen/data=!4m2!3m1!1s0x80857dce0c182d7b:0x60803848b29861ab!10m1!1e1,,,,,,,,,
48,眷湘Easterly Berkeley,Chinese restaurant,37.870283,-122.266754,"2142 Center St, Berkeley, CA 94704",https://www.google.com/maps/place/%E7%9C%B7%E6%B9%98Easterly+Berkeley/data=!4m2!3m1!1s0x80857f8714b0b933:0xd8bd8809a2e208b2!10m1!1e1,11 AM–2:30 PM,11 AM–2:30 PM,11 AM–2:30 PM,11 AM–2:30 PM,11 AM–2:30 PM,11 AM–2:30 PM,11 AM–2:30 PM,,
49,Dumpling Express,Dumpling restaurant,37.867836,-122.256868,"2328 Bowditch St, Berkeley, CA 94704",https://www.google.com/maps/place/Dumpling+Express/data=!4m2!3m1!1s0x80857c2fa7e8b7a1:0x629afc7de007b26!10m1!1e1,,,,,,,,,
50,Royal Rangoon,Burmese restaurant,37.858991,-122.259594,"2826 Telegraph Ave, Berkeley, CA 94705",https://www.google.com/maps/place/Royal+Rangoon/data=!4m2!3m1!1s0x80857dd355f1abd3:0xb36685236a9ba350!10m1!1e1,,,,,,,,,
51,Pho Le,Vietnamese restaurant,37.88039,-122.295448,"1301 San Pablo Ave, Berkeley, CA 94702",https://www.google.com/maps/place/Pho+Le/data=!4m2!3m1!1s0x80857f12070aa545:0x40a561726e15ef2c!10m1!1e1,,,,,,,,,
52,Chen's Garden,Chinese restaurant,37.848661,-122.270695,"1818 Alcatraz Ave, Berkeley, CA 94703",https://www.google.com/maps/place/Chen's+Garden/data=!4m2!3m1!1s0x80857e797f36649d:0xa03453d54152105e!10m1!1e1,,,,,,,,,
53,Yin Ji Chang Fen 银记肠粉店,Cantonese restaurant,37.870265,-122.266879,"2132 Center St, Berkeley, CA 94704",https://www.google.com/maps/place/Yin+Ji+Chang+Fen+%E9%93%B6%E8%AE%B0%E8%82%A0%E7%B2%89%E5%BA%97/data=!4m2!3m1!1s0x80857f90ba0bfd89:0x6567907e3d3f2e9e!10m1!1e1,,,,,,,,,
54,Kirin Chinese Restaurant And Cocktail Bar,Chinese restaurant,37.891413,-122.280762,"1767 Solano Ave, Berkeley, CA 94707",https://www.google.com/maps/place/Kirin+Chinese+Restaurant+And+Cocktail+Bar/data=!4m2!3m1!1s0x8085794cc6534cd9:0xa689413398e665be!10m1!1e1,,,,,,,,,
55,Dumpling Time,Dumpling restaurant,37.870394,-122.300427,"1795 Fourth St, Berkeley, CA 94710",https://www.google.com/maps/place/Dumpling+Time/data=!4m2!3m1!1s0x80857fcaa4222a19:0x61b2e0b9e819601a!10m1!1e1,,,,,,,,,
56,Tasty Pot,Hot pot restaurant,37.868728,-122.266925,"2115 Kittredge St, Berkeley, CA 94704",https://www.google.com/maps/place/Tasty+Pot/data=!4m2!3m1!1s0x80857e9da74dfe3b:0xf9e849d553dec422!10m1!1e1,,,,,,,,,
57,Oriental Restaurant,Asian restaurant,37.875197,-122.268953,"1782 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Oriental+Restaurant/data=!4m2!3m1!1s0x80857e9f7b12074d:0x9aaee5241cdec9ed!10m1!1e1,,,,,,,,,
58,The Hyper House,Polish restaurant,37.862063,-122.265015,"2606 Fulton St, Berkeley, CA 94704",https://www.google.com/maps/place/The+Hyper+House/data=!4m2!3m1!1s0x80857d84a7bffa9d:0x50a16ebf4b8c4095!10m1!1e1,,,,,,,,,
59,Chengdu Style Restaurant,Chinese restaurant,37.86889,-122.256761,"2600 Bancroft Way, Berkeley, CA 94704",https://www.google.com/maps/place/Chengdu+Style+Restaurant/data=!4m2!3m1!1s0x80857c2f9eae56cb:0xb481df8c03563140!10m1!1e1,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,,
60,Zut! On Fourth,Californian restaurant,37.8697,-122.30076,"1820 Fourth St, Berkeley, CA 94710",https://www.google.com/maps/place/Zut!+On+Fourth/data=!4m2!3m1!1s0x80857edca2276bc9:0x3577236f197e0307!10m1!1e1,11:30 AM–8 PM,11:30 AM–8 PM,11:30 AM–8 PM,11:30 AM–9 PM,11:30 AM–9 PM,11 AM–9 PM,11 AM–8 PM,,
61,Chez Panisse,Californian restaurant,37.879607,-122.268925,"1517 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Chez+Panisse/data=!4m2!3m1!1s0x80857ea1255c8b71:0x4163509ac1eb5cf9!10m1!1e1,Closed,11:30 AM–2:30 PM,11:30 AM–2:30 PM,11:30 AM–2:30 PM,11:30 AM–2:30 PM,11:30 AM–2:30 PM,Closed,,
62,ZINO,Mediterranean restaurant,37.869243,-122.268273,"2086 Allston Way, Berkeley, CA 94704",https://www.google.com/maps/place/ZINO/data=!4m2!3m1!1s0x80857e9c4db3be23:0x940da957f0133c6f!10m1!1e1,7 AM–10 PM,7 AM–10 PM,7 AM–10 PM,7 AM–10 PM,7 AM–10 PM,8 AM–10 PM,8 AM–10 PM,,
63,Saul's Restaurant & Delicatessen,Jewish restaurant,37.880706,-122.268922,"1475 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Saul's+Restaurant+%26+Delicatessen/data=!4m2!3m1!1s0x80857ea6d01fc281:0xc6b6dd4344302aff!10m1!1e1,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,,
64,La Mediterranee,Mediterranean restaurant,37.857595,-122.25338,"2936 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/La+Mediterranee/data=!4m2!3m1!1s0x80857dcdecda8877:0xc56ed45ede87f983!10m1!1e1,,,,,,,,,
65,Cafe Leila,Cafe,37.872556,-122.293576,"1724 San Pablo Ave, Berkeley, CA 94702",https://www.google.com/maps/place/Cafe+Leila/data=!4m2!3m1!1s0x80857ec1550cad3b:0x76af91edcfa9b6c7!10m1!1e1,,,,,,,,,
66,IN THE WOOD,Gastropub,37.857731,-122.25327,"2930 College Ave, Berkeley, CA 94705",https://www.google.com/maps/place/IN+THE+WOOD/data=!4m2!3m1!1s0x80857dcd92897e17:0x3ce6a9b217c22d64!10m1!1e1,11:30 AM–8:30 PM,11:30 AM–8:30 PM,11:30 AM–8:30 PM,11:30 AM–8:30 PM,11:30 AM–9 PM,11:30 AM–9 PM,11:30 AM–8:30 PM,,
67,Rojbas Mediterranean Grill,Mediterranean restaurant,37.871735,-122.272832,"1901 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Rojbas+Mediterranean+Grill/data=!4m2!3m1!1s0x80857e991ddda087:0x3df51b92a89cb42b!10m1!1e1,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,,
68,Iyasare,Japanese restaurant,37.869424,-122.300752,"1830 Fourth St, Berkeley, CA 94710",https://www.google.com/maps/place/Iyasare/data=!4m2!3m1!1s0x80857edcbe30f209:0xb45f68fac6de85dc!10m1!1e1,,,,,,,,,
69,Skates On The Bay,American restaurant,37.863657,-122.318016,"100 Seawall Dr, Berkeley, CA 94710",https://www.google.com/maps/place/Skates+On+The+Bay/data=!4m2!3m1!1s0x80857f23ed6e4f8d:0x7c25e0c030d41b99!10m1!1e1,,,,,,,,,
70,Revival Bar+Kitchen,Californian restaurant,37.871046,-122.268488,"2102 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/Revival+Bar%2BKitchen/data=!4m2!3m1!1s0x80857e9e80912629:0xd828a07d29e0f723!10m1!1e1,4–8:30 PM,4–8:30 PM,4–8:30 PM,4–8:30 PM,4–9 PM,4–9 PM,4–8:30 PM,,
71,Comal,Mexican restaurant,37.871581,-122.268634,"2020 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/Comal/data=!4m2!3m1!1s0x80857e9e893c79c3:0x5b6e97d44d0b2925!10m1!1e1,,,,,,,,,
72,LIMEWOOD BAR & RESTAURANT,Restaurant,37.858926,-122.242086,"41 Tunnel Rd, Berkeley, CA 94705",https://www.google.com/maps/place/LIMEWOOD+BAR+%26+RESTAURANT/data=!4m2!3m1!1s0x80857db6027dc7bd:0xf285adf4d6445c47!10m1!1e1,7:30 AM–9:30 PM,7:30 AM–9:30 PM,7:30 AM–9:30 PM,7:30 AM–9:30 PM,7:30 AM–9:30 PM,8 AM–9:30 PM,8 AM–9:30 PM,,
73,Angeline's Louisiana Kitchen,Cajun restaurant,37.868233,-122.267553,"2261 Shattuck Ave., Berkeley, CA 94704",https://www.google.com/maps/place/Angeline's+Louisiana+Kitchen/data=!4m2!3m1!1s0x80857e9d0423fc87:0xd6e249591c2652b!10m1!1e1,Closed,11:30 AM–9 PM,11:30 AM–9 PM,11:30 AM–9 PM,11:30 AM–9 PM,10 AM–9 PM,10 AM–9 PM,,
74,Berkeley Social Club,Restaurant,37.871854,-122.269481,"2050 University Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Berkeley+Social+Club/data=!4m2!3m1!1s0x80857e9eeafe6dc1:0xa4d7dde2d82e1483!10m1!1e1,9 AM–2:30 PM,9 AM–2:30 PM,9 AM–2:30 PM,9 AM–2:30 PM,9 AM–2:30 PM,9 AM–3 PM,9 AM–3 PM,,
75,Cafe M,American restaurant,37.870513,-122.299827,"1799 Fourth St #F, Berkeley, CA 94710",https://www.google.com/maps/place/Cafe+M/data=!4m2!3m1!1s0x80857edca94d6923:0xfca325019d492797!10m1!1e1,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–3 PM,8:30 AM–3 PM,,
76,Rick & Ann's Restaurant,American restaurant,37.858533,-122.244103,"2922 Domingo Ave, Berkeley, CA 94705",https://www.google.com/maps/place/Rick+%26+Ann's+Restaurant/data=!4m2!3m1!1s0x80857dc9f25e11e1:0xf18a20c8e0024204!10m1!1e1,8:30 AM–2 PM,9 AM–5 PM,Closed,8:30 AM–2 PM,8:30 AM–2 PM,8:30 AM–2 PM,8:30 AM–2 PM,,
77,Mezzo,Sandwich shop,37.866178,-122.258819,"2442 Telegraph Ave, Berkeley, CA 94704",https://www.google.com/maps/place/Mezzo/data=!4m2!3m1!1s0x80857de1a733e211:0x79ef9933388fbd01!10m1!1e1,,,,,,,,,
78,Vault Cafe,American restaurant,37.8495,-122.271536,"3250 Adeline St, Berkeley, CA 94703",https://www.google.com/maps/place/Vault+Cafe/data=!4m2!3m1!1s0x80857e7bdd0e2377:0x354306e212e9958b!10m1!1e1,7:30 AM–3 PM,7:30 AM–4 PM,7:30 AM–4 PM,7:30 AM–4 PM,7:30 AM–4 PM,7:30 AM–4 PM,7:30 AM–4 PM,,
79,Tomate Cafe,Brunch restaurant,37.863536,-122.297298,"2265 Fifth St, Berkeley, CA 94710",https://www.google.com/maps/place/Tomate+Cafe/data=!4m2!3m1!1s0x80857ee8f1d13653:0x48a757ac848418a0!10m1!1e1,,,,,,,,,
80,Standard Fare,Organic restaurant,37.85714,-122.291782,"2701 Eighth St #118, Berkeley, CA 94710",https://www.google.com/maps/place/Standard+Fare/data=!4m2!3m1!1s0x80857ef245b5fc09:0x7b8bb0787811a151!10m1!1e1,Closed,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–2:30 PM,Closed,,
81,Crepevine,Restaurant,37.878059,-122.269385,"1600 Shattuck Ave., Berkeley, CA 94709",https://www.google.com/maps/place/Crepevine/data=!4m2!3m1!1s0x80857ea10ece69a3:0x695289c2655a0a03!10m1!1e1,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,8 AM–9 PM,,
82,Eureka!,Restaurant,37.869978,-122.269006,"2068 Center St, Berkeley, CA 94704",https://www.google.com/maps/place/Eureka!/data=!4m2!3m1!1s0x80857e9c3a94e845:0x23c3558c2b0568fd!10m1!1e1,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–1 AM,11 AM–1 AM,11 AM–12 AM,,
83,Lama Beans,Restaurant,37.87948,-122.301607,"1290 Sixth St, Berkeley, CA 94710",https://www.google.com/maps/place/Lama+Beans/data=!4m2!3m1!1s0x80857ed18f296ac9:0x6cde52d63d2c311f!10m1!1e1,,,,,,,,,
84,Cafe Buenos Aires Berkeley,Coffee shop,37.855499,-122.266319,"2999 Shattuck Ave., Berkeley, CA 94705",https://www.google.com/maps/place/Cafe+Buenos+Aires+Berkeley/data=!4m2!3m1!1s0x80857f201f564929:0xf65de890c3c3e390!10m1!1e1,7:30 AM–5 PM,7:30 AM–5 PM,7:30 AM–5 PM,7:30 AM–5 PM,7:30 AM–5 PM,7:30 AM–5 PM,7:30 AM–5 PM,,
85,Jerusalem Organic Kitchen,Middle Eastern restaurant,37.891647,-122.277369,"1897 Solano Ave, Berkeley, CA 94707",https://www.google.com/maps/place/Jerusalem+Organic+Kitchen/data=!4m2!3m1!1s0x80857eb2af1913e5:0xa330a608defcac01!10m1!1e1,,,,,,,,,
86,"Organic Greens Salad & More, Downtown Berkeley",Salad shop,37.868817,-122.26643,"2177 Kittredge St, Berkeley, CA 94704","https://www.google.com/maps/place/Organic+Greens+Salad+%26+More,+Downtown+Berkeley/data=!4m2!3m1!1s0x80857e9d73e330ad:0x48dd4e2dffd37afb!10m1!1e1",,,,,,,,,
