,title,category,latitude,longitude,address,link,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,time
807,Dublin Ranch Golf Course,Public golf course,37.725148,-121.857399,"5900 Signal Hill Dr, Dublin, CA 94568",https://www.google.com/maps/place/Dublin+Ranch+Golf+Course/data=!4m2!3m1!1s0x808feed865f9f013:0x1cf6e1f0441e2268!10m1!1e1,,,,,,,,,
808,The Club at Castlewood,Country club,37.637042,-121.894856,"707 Country Club Cir, Pleasanton, CA 94566",https://www.google.com/maps/place/The+Club+at+Castlewood/data=!4m2!3m1!1s0x808fe9f98092d40d:0x2cd21eabba35df99!10m1!1e1,,,,,,,,,
809,The Golf Club at Moffett Field,Golf club,37.419815,-122.040161,"Moffett Field, 934 Macon Rd, Mountain View, CA 94035",https://www.google.com/maps/place/The+Golf+Club+at+Moffett+Field/data=!4m2!3m1!1s0x808fb77934484675:0x7e95e7fc1b0d8408!10m1!1e1,,,,,,,,,
810,Stanford Golf Course,Golf course,37.421572,-122.183761,"91 Links Rd, Stanford, CA 94305",https://www.google.com/maps/place/Stanford+Golf+Course/data=!4m2!3m1!1s0x808fa4d80a383d27:0x91e6414570c43c57!10m1!1e1,,,,,,,,,
811,Stonebrae Country Club,Country club,37.646612,-122.001341,"202 Country Club Dr, Hayward, CA 94542",https://www.google.com/maps/place/Stonebrae+Country+Club/data=!4m2!3m1!1s0x808f94bec7a41027:0x3361a7a5c324e128!10m1!1e1,,,,,,,,,
812,Baylands Golf Links,Golf course,37.453736,-122.115977,"1875 Embarcadero Rd, Palo Alto, CA 94303",https://www.google.com/maps/place/Baylands+Golf+Links/data=!4m2!3m1!1s0x808fbb03c9f845dd:0xd3f445dbe7c287c0!10m1!1e1,,,,,,,,,
813,The Club at Ruby Hill,Country club,37.640044,-121.814883,"3400 W Ruby Hill Dr, Pleasanton, CA 94566",https://www.google.com/maps/place/The+Club+at+Ruby+Hill/data=!4m2!3m1!1s0x808fc2ad5784b6cf:0x4411d597f295cef3!10m1!1e1,,,,,,,,,
814,Moraga Country Club,Country club,37.836057,-122.137205,"1600 St Andrews Dr, Moraga, CA 94556",https://www.google.com/maps/place/Moraga+Country+Club/data=!4m2!3m1!1s0x808f8849682e70d9:0xfc67c8a3f7bed0d7!10m1!1e1,,,,,,,,,
815,Contra Costa Country Club,Golf course,37.973507,-122.080656,"801 Golf Club Rd, Pleasant Hill, CA 94523",https://www.google.com/maps/place/Contra+Costa+Country+Club/data=!4m2!3m1!1s0x8085669f094178d7:0x8cdbd7cbbae03777!10m1!1e1,,,,,,,,,
816,Pacific Pinball Museum,Museum,37.773798,-122.276643,"1510 Webster St, Alameda, CA 94501",https://www.google.com/maps/place/Pacific+Pinball+Museum/data=!4m2!3m1!1s0x808f81261d897e11:0x1cd50133849122e!10m1!1e1,,,,,,,,,
817,House of Air Trampoline Park and Café,Amusement center,37.80504,-122.468579,"926 Mason St, San Francisco, CA 94129",https://www.google.com/maps/place/House+of+Air+Trampoline+Park+and+Caf%C3%A9/data=!4m2!3m1!1s0x808586c2b1cac027:0x5280f52d96ade66f!10m1!1e1,,,,,,,,,
818,Pump It Up Oakland Kids Birthdays and More,Children's amusement center,37.775637,-122.239005,"2500 Embarcadero Ste A, Oakland, CA 94606",https://www.google.com/maps/place/Pump+It+Up+Oakland+Kids+Birthdays+and+More/data=!4m2!3m1!1s0x808f86e97199f9dd:0x2855a9264a301588!10m1!1e1,,,,,,,,,
819,Magowan's Infinite Mirror Maze,Amusement center,37.810022,-122.41024,"Pier 39, 0-11 Beach St, San Francisco, CA 94111",https://www.google.com/maps/place/Magowan's+Infinite+Mirror+Maze/data=!4m2!3m1!1s0x808580fc7cdae675:0x3ce550b9cec413a1!10m1!1e1,,,,,,,,,
820,Children's Fairyland,Theme park,37.808147,-122.26055,"699 Bellevue Ave, Oakland, CA 94610",https://www.google.com/maps/place/Children's+Fairyland/data=!4m2!3m1!1s0x808f874c2c352de5:0xc592ec5dd8738e39!10m1!1e1,,,,,,,,,
821,Chinese Historical Society of America Museum,Museum,37.793836,-122.408787,"965 Clay St, San Francisco, CA 94108",https://www.google.com/maps/place/Chinese+Historical+Society+of+America+Museum/data=!4m2!3m1!1s0x8085808cc6082e41:0x31f14efce7602907!10m1!1e1,,,,,,,,,
