96,2,4
1200,2,3
763,2,3
548,2,6
963,2,8
496,2,6
1235,2,9
1139,2,10
115,2,5
292,2,3
1263,2,2
1129,2,8
793,2,7
404,2,8
707,2,9
1309,2,6
1273,2,6
849,2,4
320,2,3
799,2,3
1256,2,2
340,2,2
788,2,2
425,2,3
1295,2,2
759,2,1
861,2,5
1111,2,7
347,2,7
413,2,7
698,2,4
1018,2,6
907,2,6
1134,2,3
557,2,2
78,2,1
822,2,7
1142,2,7
49,2,8
334,2,6
1304,2,4
88,2,3
1183,2,6
403,2,6
163,2,2
843,2,2
396,2,4
417,2,2
973,2,5
1309,2,7
574,2,8
1065,2,5
671,2,7
118,2,7
141,2,5
950,2,7
141,2,3
385,2,4
218,2,5
405,2,7
868,2,5
908,2,7
572,2,4
15,2,6
385,2,7
853,2,3
209,2,2
1030,2,5
389,2,6
632,2,7
1310,2,8
840,2,9
969,2,6
688,2,7
80,2,5
1105,2,3
1235,2,10
386,2,4
347,2,6
35,2,8
49,2,9
836,2,5
1190,2,9
704,2,8
1251,2,4
112,2,3
696,2,2
493,2,10
728,2,2
1025,2,4
45,2,5
102,2,2
766,2,2
139,2,4
245,2,4
514,2,7
309,2,8
80,2,4
70,2,4
789,2,7
200,2,4
833,2,7
173,3,4
281,3,4
222,3,3
386,3,3
1194,3,3
713,3,3
324,3,5
698,3,7
107,3,7
39,3,6
1261,3,2
580,3,8
779,3,9
1224,3,9
778,3,8
1181,3,9
132,3,3
168,3,3
233,3,5
225,3,6
974,3,10
434,3,9
727,3,10
57,3,8
68,3,4
891,3,5
143,3,2
345,3,2
235,3,4
1220,3,9
722,3,8
908,3,9
698,3,8
1153,3,9
1210,3,5
955,3,8
639,3,8
719,3,9
773,3,5
1127,3,9
1102,3,8
876,3,9
1195,3,10
447,3,5
876,3,9
1227,3,3
564,3,9
750,3,3
538,3,9
936,3,6
115,3,3
663,3,9
935,3,3
1165,3,9
1019,4,3
933,4,8
785,4,8
195,4,6
887,4,8
834,4,9
693,4,8
48,4,7
671,4,6
604,4,8
594,4,8
342,4,6
1137,4,3
1226,4,7
227,4,3
151,4,5
981,4,5
807,4,3
1261,4,4
1085,4,9
971,4,10
630,4,9
197,4,8
148,4,4
1001,4,4
356,4,5
980,4,2
1252,4,8
730,4,5
1149,4,4
1312,4,9
241,4,8
408,4,7
675,4,9
866,4,8
708,4,7
305,4,8
117,4,9
681,4,7
1157,4,7
221,4,5
1201,4,9
109,4,3
62,4,4
1005,4,9
710,4,8
313,5,4
1291,5,8
312,5,8
123,5,6
522,5,9
853,5,9
1241,5,10
199,5,8
204,5,5
281,5,6
1045,5,9
1179,5,8
563,5,9
41,5,4
1307,5,9
643,5,9
525,5,9
1120,5,4
1276,5,8
1006,5,9
1199,5,7
1161,5,9
876,5,9
180,5,3
1074,5,9
529,5,10
238,5,5
850,5,3
997,5,8
1247,5,9
156,5,4
119,5,2
358,5,2
6,5,4
1295,5,5
1034,5,4
1003,5,3
789,5,9
1077,5,9
1208,5,4
447,5,9
791,5,8
310,5,7
643,5,8
498,5,9
522,5,4
475,5,4
