,date,time,title,image_link,address,event_url,continuous
21,19-04-2024,7:30PM,Louis Katz,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/17836560/49c3d1d1-7150-4411-9429-8b8f3424de22.jpg',444 Battery St,http://sf-events.brokeassstuart.com/events/2024/4/19/louis-katz-tickets,
22,19-04-2024,9:00PM,Brainstory,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18378326/e84cb027-6223-45d4-b8b8-7d2410a85189.jpg',628 Divisadero Street,http://sf-events.brokeassstuart.com/events/2024/4/19/brainstory-tickets,
23,19-04-2024,8:00PM,"Pussy Riot, Boyfriend & Pleeay",'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18057694/4cc12ded-9eed-4476-9c82-78ba65ce3a17.jpg',3160 16th St,http://sf-events.brokeassstuart.com/events/2024/4/19/pussy-riot-boyfriend-pleeay-tickets,
24,19-04-2024,8:00PM,Whiskerman,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/19244216/b03f2881-bb5c-4677-94ed-ecd5af4a23c9.jpg',155 Fell Street,http://sf-events.brokeassstuart.com/events/2024/4/19/whiskerman-tickets,
25,19-04-2024,8:00PM,Alternative Tentacles,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/19244221/dfe0e998-472c-493b-ad1b-d611a964115a.jpg',2330 Telegraph Ave,http://sf-events.brokeassstuart.com/events/2024/4/19/alternative-tentacles-tentaclefest-2024-night-2-tickets,
26,19-04-2024,10:00PM,WILD CARD w/ DJs WHITE MIKE & KING MOST,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/7595012/c997128d-c4d1-4343-8795-9849f5154371.jpg',500 Divisadero St.,http://sf-events.brokeassstuart.com/events/2024/4/19/wild-card-w-djs-king-most-white-mike,
27,19-04-2024,9:00PM,Tortured Poets Department: Taylor Launch Party,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18247108/26529481-ba0b-485a-9592-bfc684f5bdbb.jpg',375 Eleventh Street,http://sf-events.brokeassstuart.com/events/2024/4/19/tortured-poets-department-taylor-launch-party-tickets,
28,19-04-2024,7:30PM,"Lofi Legs, The Towns, Flight of Ulysses",'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18842364/3c7f7289-9c4d-4baa-a09f-7b438cd4d333.jpg',1233 17th Street,http://sf-events.brokeassstuart.com/events/2024/4/19/lofi-legs-the-towns-flight-of-ulysses-tickets,
29,19-04-2024,8:00PM,The Bunny The Bear live with Blood Orchid,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18367548/8ab36690-a351-43d2-a983-e38f37960b7f.jpg',375 Eleventh Street,http://sf-events.brokeassstuart.com/events/2024/4/19/the-bunny-the-bear-live-with-blood-orchid-tickets,
30,19-04-2024,8:00PM,Best of SF Stand-Up Comedy,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/10279298/855cf18e-130e-4c7d-bce5-92069116ad40.jpg',,http://sf-events.brokeassstuart.com/events/weekly/fri/best-of-sf-stand-up-comedy-tickets,
